account_id,performance_period,ml_indicator,checking_only_indicator,prior_ctr_indicator,address_change_2x_indicator,cross_border_trx_indicator,in_person_contact_indicator,linkedin_indicator,atm_deposit_indicator,trx_10ksum_indicator,common_merchant_indicator,direct_deposit_indicator,marital_status,primary_transfer_cat,citizenship_country_risk,occupation_risk,num_transactions,num_acctbal_chgs_gt2000,distance_to_employer,distance_to_bank,income,credit_score,ml_indicator_type,marital_status_type,primary_transfer_cat_type
1,1,0,1,0,0,1,0,1,1,0,0,1,2,1,0,0,124,149,9,13,8797,769,no_money_launder,divorced,check
2,1,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,177,187,1,24,8635,531,no_money_launder,single,check
3,1,0,1,0,1,1,1,1,1,0,0,1,2,2,0,0,26,204,16,4,25400,556,no_money_launder,divorced,wire
4,1,0,0,0,0,1,1,1,0,0,1,1,2,1,1,2,81,7,4,4,16065,649,no_money_launder,divorced,check
5,1,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,63,16,5,19,184352,665,no_money_launder,single,wire
6,1,0,0,0,0,1,1,0,1,0,0,1,2,2,7,0,74,5,3,3,76171,658,no_money_launder,divorced,wire
7,1,0,0,0,0,0,1,0,1,0,1,1,2,0,0,0,20,46,4,11,45078,625,no_money_launder,divorced,cash
8,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,192,125,2,1,128264,671,no_money_launder,married,check
9,1,0,1,1,1,0,1,0,1,0,0,1,1,1,2,2,360,35,10,2,9831,744,no_money_launder,married,check
10,1,0,1,1,1,1,1,0,0,0,0,1,2,1,1,0,38,20,1,1,36235,623,no_money_launder,divorced,check
11,1,0,0,1,0,1,0,1,0,0,1,1,1,2,3,1,67,35,4,20,18443,703,no_money_launder,married,wire
12,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,46,136,4,9,53111,651,no_money_launder,married,check
13,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,5,24,9,3,3,182316,652,no_money_launder,married,check
14,1,0,0,0,0,1,1,1,0,0,0,1,2,2,2,0,197,22,4,15,64284,639,no_money_launder,divorced,wire
15,1,0,0,0,1,0,1,0,1,0,0,1,0,1,7,0,42,115,5,15,10731,744,no_money_launder,single,check
16,1,0,0,1,0,0,1,0,0,0,0,1,0,1,2,2,28,3,2,22,22888,724,no_money_launder,single,check
17,1,0,0,1,1,1,1,0,0,0,0,0,2,2,2,1,19,22,5,14,75809,798,no_money_launder,divorced,wire
18,1,0,0,0,0,1,0,1,1,0,0,1,2,1,0,0,239,99,4,27,56879,558,no_money_launder,divorced,check
19,1,0,0,1,1,0,1,0,0,0,0,1,1,1,3,0,3,90,4,14,89094,631,no_money_launder,married,check
20,1,0,1,0,1,1,1,0,1,0,0,0,2,1,1,0,8,5,2,1,72577,672,no_money_launder,divorced,check
21,1,0,1,1,0,1,0,1,1,0,0,0,1,1,4,0,84,14,3,12,21077,759,no_money_launder,married,check
22,1,0,1,1,0,0,0,0,0,0,0,0,2,1,1,3,35,12,23,16,92458,627,no_money_launder,divorced,check
23,1,0,0,0,0,0,0,1,0,0,0,0,1,1,7,5,226,240,4,3,31206,777,no_money_launder,married,check
24,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,52,15,1,4,70737,724,no_money_launder,single,cash
25,1,0,1,1,0,0,1,0,0,0,0,1,0,2,0,0,70,21,5,4,27047,720,no_money_launder,single,wire
26,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,21,227,10,1,191737,625,no_money_launder,married,check
27,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,55,28,8,1,61766,680,no_money_launder,married,check
28,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,66,62,2,5,25984,733,no_money_launder,single,check
29,1,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,12,52,1,3,73706,653,no_money_launder,divorced,wire
30,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,306,15,5,15,91532,763,no_money_launder,married,check
31,1,0,1,0,1,0,1,1,0,0,0,1,0,2,0,0,398,48,8,2,70745,632,no_money_launder,single,wire
32,1,0,1,0,0,0,1,0,0,1,0,1,0,1,3,0,88,106,5,3,47433,700,no_money_launder,single,check
33,1,0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,3,25,1,14,23627,754,no_money_launder,single,wire
34,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,69,1,3,15,80517,745,no_money_launder,married,check
