account_id,performance_period,ml_indicator,checking_only_indicator,prior_ctr_indicator,address_change_2x_indicator,cross_border_trx_indicator,in_person_contact_indicator,linkedin_indicator,atm_deposit_indicator,trx_10ksum_indicator,common_merchant_indicator,direct_deposit_indicator,marital_status,primary_transfer_cat,citizenship_country_risk,occupation_risk,num_transactions,num_acctbal_chgs_gt2000,distance_to_employer,distance_to_bank,income,credit_score,ml_indicator_type,marital_status_type,primary_transfer_cat_type
1,3,0,1,0,1,1,1,1,0,0,0,1,1,1,3,0,73,30,4,15,34502,647,no_money_launder,married,check
2,3,0,1,0,0,1,0,0,1,1,0,1,2,2,0,1,113,25,2,1,93839,780,no_money_launder,divorced,wire
3,3,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,96,184,1,1,29238,622,no_money_launder,married,check
4,3,0,1,1,1,0,1,1,1,0,0,1,1,2,2,3,65,104,1,3,83595,620,no_money_launder,married,wire
5,3,0,0,1,1,1,1,0,0,1,0,1,0,1,3,0,17,7,1,5,8736,727,no_money_launder,single,check
6,3,0,1,0,0,0,1,1,1,0,0,1,1,1,1,3,125,249,26,13,86403,840,no_money_launder,married,check
7,3,0,1,1,1,1,1,1,0,0,0,0,0,2,0,1,1,1,9,30,71388,638,no_money_launder,single,wire
8,3,0,1,1,0,0,1,0,1,0,0,1,2,2,3,2,194,175,3,13,62502,719,no_money_launder,divorced,wire
9,3,0,1,0,0,1,1,1,1,1,0,1,2,0,2,0,61,13,2,18,25909,624,no_money_launder,divorced,cash
10,3,0,0,0,0,1,1,1,0,0,0,1,1,0,5,0,1,24,4,10,33193,739,no_money_launder,married,cash
11,3,0,1,0,0,1,1,1,1,0,1,1,2,1,1,0,103,46,2,10,170324,666,no_money_launder,divorced,check
12,3,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,41,126,4,18,61532,620,no_money_launder,married,check
13,3,0,0,1,0,1,1,1,0,0,0,1,1,1,4,0,307,9,5,3,73961,696,no_money_launder,married,check
14,3,0,0,1,0,0,1,1,0,1,0,1,1,2,2,0,97,7,1,12,71965,525,no_money_launder,married,wire
15,3,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,85,18,3,5,188339,740,no_money_launder,married,check
16,3,0,0,1,0,0,0,1,1,0,0,1,0,1,4,2,90,33,5,11,75124,712,no_money_launder,single,check
17,3,0,0,0,0,1,0,1,1,0,0,1,2,2,0,0,26,37,31,16,87691,707,no_money_launder,divorced,wire
18,3,0,1,0,0,1,1,1,1,1,0,1,1,1,0,3,46,70,2,1,70178,773,no_money_launder,married,check
19,3,0,1,1,0,0,1,0,1,0,0,1,2,1,5,1,87,244,10,5,40325,568,no_money_launder,divorced,check
20,3,0,1,1,0,1,1,0,1,0,0,1,2,1,3,4,60,10,1,1,163714,564,no_money_launder,divorced,check
21,3,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,232,237,7,13,38559,611,no_money_launder,married,cash
22,3,0,0,1,0,0,0,1,1,0,0,1,2,2,2,0,427,241,2,13,16477,747,no_money_launder,divorced,wire
23,3,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,22,241,30,14,139064,693,no_money_launder,married,check
24,3,0,1,0,1,0,1,0,0,1,0,1,0,1,2,0,95,194,7,1,30901,717,no_money_launder,single,check
25,3,0,0,0,0,1,0,0,1,1,0,1,2,0,0,0,41,55,12,1,82298,536,no_money_launder,divorced,cash
26,3,0,0,1,1,1,1,1,1,0,0,1,2,2,0,1,74,18,4,3,7215,743,no_money_launder,divorced,wire
27,3,0,0,1,1,1,1,0,1,0,0,1,2,1,0,3,25,216,2,5,72163,609,no_money_launder,divorced,check
28,3,0,0,1,1,1,0,1,0,0,0,1,2,1,5,4,104,12,5,2,13705,678,no_money_launder,divorced,check
29,3,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,479,232,3,5,44903,798,no_money_launder,married,check
30,3,0,1,1,1,0,1,1,1,0,0,1,2,2,0,2,75,14,1,9,76372,611,no_money_launder,divorced,wire
31,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,151,157,8,5,61284,752,no_money_launder,single,wire
32,3,0,1,1,1,0,1,0,0,0,0,1,1,1,0,4,49,11,5,34,36645,759,no_money_launder,married,check
33,3,0,0,1,0,0,1,0,0,0,0,1,2,1,1,0,322,175,12,2,6722,641,no_money_launder,divorced,check
34,3,0,1,0,0,0,1,0,1,0,0,1,1,2,2,2,146,7,4,16,20112,701,no_money_launder,married,wire
35,3,0,0,1,0,0,0,1,1,0,0,1,1,1,2,1,155,16,5,4,74058,713,no_money_launder,married,check
36,3,0,0,0,1,0,1,0,1,1,0,1,2,1,1,1,40,13,5,13,162325,761,no_money_launder,divorced,check
